"Nombre","Factor_Escala","Escala","Detalle","Serie","Embalaje","Peso","Precio"
"Petitgguy Setsuna F Seiei Blue & Placard",4,"1/144","High Grade","Petit`Gguy",1260.54,102,4.74
"Petitgguy Surfacer Gray & Placard",4,"1/144","High Grade","Petit`Gguy",1339.5,103,4.74
"Petitgguy Tieria Erde Purple & Placard",4,"1/144","High Grade","Petit`Gguy",1260.54,103,4.74
"Giant Gatling",4,"1/144","High Grade","Build Custom",1304.1,104,5.69
"Amazing Weapon binder",4,"1/144","High Grade","Build Custom",1360.8,106,4.74
"Magella Attack",4,"1/144","No-Grade","First Gundam",1324.8,106,3.79
"Binder Gun",4,"1/144","High Grade","Build Custom",1353.6,107,5.69
"Build Booster Mk-II",4,"1/144","High Grade","Build Custom",1368,108,5.69
"RX-78-2 Gundam",4,"1/144","No-Grade","Gundam (FG)",1014,108,2.37
"Hyper Gunpla Battle Weapons",4,"1/144","High Grade","Build Custom",1360.8,110,5.69
"Lightning Back Weapon System",4,"1/144","High Grade","Build Custom",1330.57,111,7.58
"Diver Ace Unit",4,"1/144","High Grade","Build Custom",1909.5,115,6.63
"Powered Arms Powerder",4,"1/144","High Grade","Build Custom",1339.5,115,5.69
"Weapons Set",4,"1/144","No-Grade","V Gundam",1612.5,115,4.74
"MSN-03 Gogg",4,"1/144","No-Grade","First Gundam",1392,116,3.79
"K9 Dog Pack",4,"1/144","High Grade","Build Custom",1360.8,117,7.58
"Pandagguy",4,"1/144","High Grade","Petit`Gguy",1260.54,117,5.69
"*Bargain Item* Galaxy Booster",4,"1/144","High Grade","Build Custom",1260.54,118,7.58
"Gundam AGE-1 Spallow",4,"1/144","No-Grade","AG",1617.51,118,5.69
"Adele",4,"1/144","No-Grade","AG",1620.32,119,5.69
"Genoace",4,"1/144","No-Grade","AG",1628.22,120,5.69
"RX-78-1 Proto Type Gundam",4,"1/144","No-Grade","MSV",1334,120,3.16
"Ballden Arm Arms",4,"1/144","High Grade","Build Custom",1332.45,122,7.58
"Genoace Custom",4,"1/144","No-Grade","AG",1628.22,123,5.69
"Gundam AGE-1 Normal",4,"1/144","No-Grade","AG",1628.22,123,5.69
"MS Option Set 2 & CGS Mobile Worker",4,"1/144","High Grade","Iron-Blooded Arms",1357.36,124,5.69
"Gundam Rose Hyper Mode Ver.",4,"1/144","No-Grade","G Gundam",1548,124,5.53
"MS-06F Zaku II",4,"1/144","No-Grade","Gundam (FG)",1014,124,2.37
"RGC-80 GM Cannon",4,"1/144","No-Grade","Z-MSV",1405.92,124,3.16
"MS-06S Char`s Zaku II",4,"1/144","First Grade","Gundam (FG)",1014,125,2.84
"G-Exes",4,"1/144","No-Grade","AG",1617.51,125,5.69
"Gundam Rose",4,"1/144","No-Grade","G Gundam",1565.57,125,3.95
"MS-06S Char`s Zaku II",4,"1/144","No-Grade","Gundam (FG)",1014,125,2.37
"RMS-179 GM II",4,"1/144","No-Grade","Z Gundam",1405.92,125,3.16
"Tiltrotor Pack",4,"1/144","High Grade","Build Custom",1909.5,126,7.58
"Dragon Gundam",4,"1/144","No-Grade","G Gundam",1565.57,127,3.95
"Dragon Gundam Hyper Mode Ver.",4,"1/144","No-Grade","G Gundam",1550.25,127,5.53
"Genoace II",4,"1/144","No-Grade","AG",1599,127,5.69
"Gundam Maxter Hyper Mode Ver.",4,"1/144","No-Grade","G Gundam",1565.57,127,5.53
"MSM-04N Agguy",4,"1/144","No-Grade","MSV",1324.8,127,3.16
"RGM-79 GM Sniper Custom",4,"1/144","No-Grade","MSV",1376.63,127,3.16
"XXXG-01S Shenlong Gundam",4,"1/144","No-Grade","Gundam W",1558.32,127,3.95
"Gafran",4,"1/144","No-Grade","AG",1628.22,128,5.69
"RGM-79 GM Sniper Custom",4,"1/144","No-Grade","Z-MSV",1353.6,128,3.16
"XXXG-01SR Gundam Sandrock",4,"1/144","No-Grade","Gundam W",1565.57,128,3.95
"XXXG-01H Gundam Heavyarms",4,"1/144","No-Grade","Gundam W",1548,129,3.95
"Skull Weapon",4,"1/144","High Grade","Build Custom",1540.66,130,7.58
"FA-78-1 Gundam Full Armor Type",4,"1/144","No-Grade","MSV",1369.82,130,3.16
"Gundam AGE-1 Titus",4,"1/144","No-Grade","AG",1609.66,130,5.69
"Gundam Maxter",4,"1/144","No-Grade","G Gundam",1623.25,130,3.95
"RGC-80 GM Cannon",4,"1/144","No-Grade","MSV",1363,130,3.16
"XXXG-01D Gundam Deathscythe",4,"1/144","No-Grade","Gundam W",1634,130,3.95
"Gundam Spiegel",4,"1/144","No-Grade","G Gundam",1540.05,131,3.95
"G Gundam",4,"1/144","No-Grade","G Gundam",1525.86,132,3.95
"XXXG-01SR Gundam Sandrock Ver. WF",4,"1/144","No-Grade","Gundam W",1593.65,132,4.74
"Zedas",4,"1/144","No-Grade","AG",1609.66,132,5.69
"G Gundam Hyper Mode Ver.",4,"1/144","No-Grade","G Gundam",1548,133,5.53
"Janes Gun",4,"1/144","No-Grade","V Gundam",1575.94,133,3.95
"V Gundam",4,"1/144","No-Grade","V Gundam",1575.94,133,3.95
"Lightning Back Weapon System Mk-III",4,"1/144","High Grade","Build Custom",1378.94,134,7.58
"Petitgguy Chara`Gguy Momo",4,"1/144","High Grade","Petit`Gguy  Chara`Gguy",1861.2,134,8.53
"Shining Gundam",4,"1/144","No-Grade","G Gundam",1649.2,134,3.95
"Gun EZ",4,"1/144","No-Grade","V Gundam",1565.57,135,3.95
"Javerin",4,"1/144","No-Grade","V Gundam",1553.26,135,3.95
"Rising Gundam",4,"1/144","No-Grade","G Gundam",1525.86,135,3.95
"No Name Rifle",4,"1/144","High Grade","Build Custom",1852.5,136,7.58
"GW-9800 Gundam Air Master",4,"1/144","No-Grade","Gundam X",1652.4,136,3.95
"XXXG-01D Gundam Deathscythe Ver. WF",4,"1/144","No-Grade","Gundam W",1583.23,136,4.74
"MSM-08 Zogok",4,"1/144","No-Grade","MSV",1344.2,137,3.16
"MS Option Set 9",4,"1/144","High Grade","Iron-Blooded Arms",2056.32,138,5.69
"AMX-109 Mobile Kapool",4,"1/144","No-Grade","Turn A Gundam",1543.1,138,4.74
"XXXG-01H Gundam Heavy Arms Ver. WF",4,"1/144","No-Grade","Gundam W",1583.23,138,4.74
"Zeidora",4,"1/144","No-Grade","AG",1637.7,138,5.69
"Bolt Gundam Hyper Mode Ver.",4,"1/144","No-Grade","G Gundam",1535.96,139,5.53
"FLAT-L06D Mobile Flat",4,"1/144","No-Grade","Turn A Gundam",1634,139,4.74
"GX-9900 Gundam X",4,"1/144","No-Grade","Gundam X",1568.64,139,3.95
"MS-06F Zaku Mine Layer",4,"1/144","No-Grade","MSV",1481.9,140,3.16
"XXXG-01S Shenlong Gundam Ver. WF",4,"1/144","No-Grade","Gundam W",1572.82,140,4.74
"Bolt Gundam",4,"1/144","No-Grade","G Gundam",1525.86,141,3.95
"XXXG-01W  Wing Gundam",4,"1/144","No-Grade","Gundam W",1612.5,141,3.95
"Gunpla Battle Arm Arms",4,"1/144","High Grade","Build Custom",1344.58,142,7.58
"Petitgguy Chara`Gguy Fumina",4,"1/144","High Grade","Petit`Gguy  Chara`Gguy",1260.54,142,8.53
"GX-9900-DV Gundam X Divider",4,"1/144","No-Grade","Gundam X",1630.8,142,3.95
"Rig Shokew",4,"1/144","No-Grade","V Gundam",1568.64,142,3.95
"Petitgguy Chara`Gguy Gyanko",4,"1/144","High Grade","Petit`Gguy  Chara`Gguy",1260.54,143,8.53
"Zoloat",4,"1/144","No-Grade","V Gundam",1532.95,143,3.95
"GW-9800-B Gundam Air Master Burst",4,"1/144","No-Grade","Gundam X",1550.25,144,3.95
"OZ-13MS Gundam Epyon",4,"1/144","No-Grade","Gundam W",1532.95,144,3.95
"GT-9600 Gundam Leopard",4,"1/144","No-Grade","Gundam X",1550.25,145,3.95
"WD-M01 Turn A Gundam",4,"1/144","No-Grade","Turn A Gundam",1543.1,145,4.74
"Lightning Back Weapon System Mk-II",4,"1/144","High Grade","Build Custom",2021.6,146,7.58
"Meteor Hopper",4,"1/144","High Grade","Build Custom",1820.78,146,7.58
"Zollidia",4,"1/144","No-Grade","V Gundam",1555.2,146,4.74
"Nemo",4,"1/144","No-Grade","Z Gundam",1889.12,148,3.95
"RMS-117 Galbaldy Beta",4,"1/144","No-Grade","Z Gundam",1980.83,148,3.95
"Tomliat",4,"1/144","No-Grade","V Gundam",1555.2,148,3.95
"XXXG-01W Wing Gundam Ver. WF",4,"1/144","No-Grade","Gundam W",1572.82,148,4.74
"Skyhigh Wings",4,"1/144","High Grade","Build Custom",1820.78,149,7.58
"Contio",4,"1/144","No-Grade","V Gundam",1522.8,149,3.95
"Master Gundam",4,"1/144","No-Grade","G Gundam",1575.94,149,3.95
"OZ-13MSX2 Mercurius",4,"1/144","No-Grade","Gundam W",1575.94,149,3.95
"V2 Buster Gundam",4,"1/144","No-Grade","V Gundam",1575.94,149,3.95
"RGM-79GS GM-Command Space",4,"1/144","No-Grade","Gundam",1575.94,150,3.95
"OZ-13MSX1 Vayeate",4,"1/144","No-Grade","Gundam W",1515.75,151,3.95
"OZ-00MS Tallgeese",4,"1/144","No-Grade","Gundam W",1515.75,152,3.95
"OZ-13MS Gundam Epyon Ver. WF",4,"1/144","No-Grade","Gundam W",1555.2,152,4.74
"Jegan",4,"1/144","No-Grade","Char`s Counter Attack",1848.92,153,3.95
"MS-14 Gelgoog",4,"1/144","No-Grade","First Gundam",2295,153,4.74
"MS-14S Char`s Gelgoog",4,"1/144","No-Grade","First Gundam",2278.4,153,4.74
"Gundam MK-II",4,"1/144","No-Grade","Z Gundam",2021.25,154,3.95
"Gundam AGE-2 Normal",4,"1/144","No-Grade","AG",1691.25,155,6.63
"OZ-00MS2 Tallgeese II",4,"1/144","No-Grade","Gundam W",1532.95,156,3.95
"Dodai YS",4,"1/144","No-Grade","First Gundam",2203.2,157,4.74
"NRX-0013-CB Gundam Virsago Chest Brake",4,"1/144","No-Grade","Gundam X",1641.6,158,3.95
"V-Dash Gundam",4,"1/144","No-Grade","V Gundam",1797.4,158,5.53
"Z-Gundam",4,"1/144","No-Grade","Z Gundam",1972.25,158,3.95
"GT-9600-D Gundam Leopard Destroy",4,"1/144","No-Grade","Gundam X",1641.6,160,3.95
"RMS-108 Marasai",4,"1/144","No-Grade","Z Gundam",1720.86,160,3.95
"Shy-Tarn",4,"1/144","No-Grade","V Gundam",1555.2,160,3.95
"Universe Booster Plavsky Power Gate",4,"1/144","High Grade","Build Custom",1881,161,7.58
"NRX-0013 Gundam Virsago",4,"1/144","No-Grade","Gundam X",1550.25,161,3.95
"MRC-F20 Mobile Sumo",4,"1/144","No-Grade","Turn A Gundam",1826.5,163,5.69
"Guntank R-44",3,"1/100","No-Grade","Gundam F",1851.5,164,4.74
"Gun Blastor",4,"1/144","No-Grade","V Gundam",1741.5,164,5.53
"MS-06E Zaku Recon",4,"1/144","No-Grade","Z-MSV",2313,164,3.95
"*Bargain Item* FF-X7-Jet Jet Core Booster",4,"1/144","EX","EX Model",2664.75,165,28.43
"Gundam Trailer Truck",4,"1/144","EX","EX Model",1773.75,165,28.43
"MRC-F20 Mobile Sumo",4,"1/144","No-Grade","Turn A Gundam",1649.2,165,5.69
"MS-06E Zaku Recon",4,"1/144","No-Grade","MSV",2273.3,165,3.95
"MS-R09 Rick Dom",4,"1/144","No-Grade","First Gundam",2269.5,166,4.74
"V2 Gundam",4,"1/144","No-Grade","V Gundam",1793.88,166,5.53
"Valuable Pod",4,"1/144","High Grade","Build Custom",1820.78,167,7.58
"Gundam Dynames",4,"1/144","First Grade","Gundam (FG)",1683,170,5.69
"Gundam Exia",4,"1/144","First Grade","Gundam (FG)",1530,170,4.74
"Gundam Kyrios",4,"1/144","First Grade","Gundam (FG)",1683,170,5.69
"Gundam Virtue",4,"1/144","First Grade","Gundam (FG)",2010.96,170,6.63
"MS-06M Marine Hi-zack",4,"1/144","No-Grade","Z-MSV",2358.72,170,3.95
"MS-07H Gouf Flying Test Type",4,"1/144","No-Grade","Z-MSV",2340,171,3.95
"Diver Gear",4,"1/144","High Grade","Build Custom",2521.08,172,6.63
"MS-06M Zaku Marine Type",4,"1/144","No-Grade","MSV",2304,172,3.95
"MS-06E-3 Zaku Flipper",4,"1/144","No-Grade","MSV",2318.77,174,3.95
"MS-06R Zaku II",4,"1/144","No-Grade","MSV",2304,174,3.95
"MS-07H Gouf Flying",4,"1/144","No-Grade","MSV",2313,174,3.95
"XXXG-00W0 Wing Gundam Zero",4,"1/144","No-Grade","Gundam W",1785.58,174,5.53
"Zaku Cannon",4,"1/144","No-Grade","Z-MSV",2295,174,3.95
"CONCEPT-X Mobile Turn X",4,"1/144","No-Grade","Turn A Gundam",1814.12,175,5.69
"MS-06D Zaku Desert Type",4,"1/144","No-Grade","MSV",2295,175,3.95
"MS-06V Zaku Tank",4,"1/144","No-Grade","Z-MSV",2446.08,175,4.74
"XXXG-01D2 Gundam Deathscythe Hell",4,"1/144","No-Grade","Gundam W",1850.51,175,5.53
"Musai",5,"1/1700","EX","EX Model",2975.62,175,26.53
"Musai",5,"1/1700","EX","EX Model",2975.62,175,26.53
"MS-06K Zakucannon",4,"1/144","No-Grade","MSV",2340.9,176,3.95
"XXXG-01S2 Altron Gundam",4,"1/144","No-Grade","Gundam W",1793.88,176,5.53
"GX-9901-DX Gundam Double X",4,"1/144","No-Grade","Gundam X",1782,180,5.53
"Gundam RX-78 GP01",4,"1/144","No-Grade","Stardust Memory",2547.36,181,5.53
"MS-06V Zaku Tank",4,"1/144","No-Grade","MSV",2547.36,181,5.69
"XXXG-00W0 Wing Gundam Zero Ver. WF",4,"1/144","No-Grade","Gundam W",1756.21,181,6.32
"Amazing Booster",4,"1/144","High Grade","Build Custom",2010.96,182,6.63
"MSM-04G JUAGG",4,"1/144","No-Grade","MSV",2313,182,3.95
"MSK-008 Dijeh",4,"1/144","No-Grade","Z Gundam",2835.97,183,5.53
"PMX-001 Palace-Athne",4,"1/144","No-Grade","Z Gundam",2801.66,183,5.53
"Ptolemaios Arms",4,"1/144","High Grade","Build Custom",1881,184,8.53
"RX-77-4 Guncannon II",4,"1/144","No-Grade","MSV",2313,184,3.95
"RX-139 Hambrabi",4,"1/144","No-Grade","Z Gundam",1197.99,186,4.74
"*Bargain Item* Machine Rider",4,"1/144","High Grade","Build Custom",2679,188,11.37
"Gazu R/L",4,"1/144","No-Grade","Gundam ZZ",2466.46,188,4.74
"Luggun and Sealanth",4,"1/144","EX","EX Model",2761.65,190,26.53
"Gaza-D",4,"1/144","No-Grade","Gundam ZZ",2480.02,190,4.74
"YMS-09 Proto Type Dom",4,"1/144","No-Grade","MSV",2446.08,190,4.74
"Dopp Fighter",4,"1/144","EX","EX Model",2810.1,191,28.43
"YMS-09 Tropical Test Type Dom",4,"1/144","No-Grade","MSV",2446.08,191,5.69
"RX-75 Gun Tank",4,"1/144","No-Grade","First Gundam",2449.17,194,5.69
"Zaku Marina",4,"1/144","No-Grade","Gundam ZZ",2524.3,194,4.74
"Hyaku Shiki",4,"1/144","No-Grade","Z Gundam",2524.3,196,4.74
"Desert Zaku",4,"1/144","No-Grade","Gundam ZZ",2524.3,197,4.74
"MS-14C Gelgoog Cannon",4,"1/144","No-Grade","MSV",2524.3,197,4.74
"S-Gundam Attacker",4,"1/144","EX","EX Model",2907,200,28.43
"RGM-79 GM",4,"1/144","High Grade","UC",2664.75,200,6.63
"MS-06R-2 Johnny Ridden`s Zaku II",4,"1/144","No-Grade","MSV",2503.44,200,4.74
"RX-110 Gabthley",4,"1/144","No-Grade","Z Gundam",2816.26,201,5.53
"RX-78 Perfect Gundam",4,"1/144","No-Grade","MSV",2483.26,201,4.74
"Bawoo",4,"1/144","No-Grade","Gundam ZZ",2500.13,202,4.74
"MS-06FZ Zaku-FZ",4,"1/144","No-Grade","Gundam",2503.44,203,4.74
"MSM-10 Zock",4,"1/144","No-Grade","First Gundam",2879.28,203,5.69
"MSN 02 Zeong",4,"1/144","No-Grade","First Gundam",2436.48,203,5.69
"RGM-79 GM",3,"1/100","No-Grade","First Gundam",2802.8,205,6.63
"G Defenser",4,"1/144","No-Grade","Z Gundam",2850.82,205,5.53
"Hamma-Hamma",4,"1/144","No-Grade","Gundam ZZ",2459.52,205,6.32
"MSM-07/E Zugock-E",4,"1/144","No-Grade","Gundam",2503.44,206,4.74
"MS-14JG Gelgoog-J",4,"1/144","No-Grade","Gundam",2816.26,207,5.53
"MMS-01 Serpent Custom Metal Clear Version",4,"1/144","High Grade","FA Gundam W EW Metal Clear Version",2761.65,208,9.48
"MSN-01 High Mobility Type Zaku",4,"1/144","No-Grade","MSV",2513.87,208,4.74
"EMS-05 Agg",3,"1/100","No-Grade","MSV",2886.95,209,5.53
"RGM-79 GM",3,"1/100","No-Grade","First Gundam",2902.9,209,6.63
"ZZ Gundam",4,"1/144","No-Grade","Gundam ZZ",2623.67,209,4.74
"Samson Trailer",4,"1/144","EX","EX Model",2825.68,210,28.43
"High Mock",4,"1/144","High Grade","Build Fighters",2726.88,210,7.58
"XXXG-01H2 Gundam H-Arms Custom Metal Clear Version",4,"1/144","High Grade","FA Gundam W EW Metal Clear Version",2790.72,210,9.48
"MS-06Z Z Type Zaku",4,"1/144","No-Grade","MSV",2527.61,212,4.74
"MMS-01 Serpent Custom",4,"1/144","High Grade","FA Gundam W EW",2824.89,214,7.58
"XXXG-01H2 Gundam H-Arms Custom",4,"1/144","High Grade","FA Gundam W EW",2723.84,214,7.58
"XXXG-01SR2 Gundam Sandrock Custom",4,"1/144","High Grade","FA Gundam W EW",2664.75,214,7.58
"Galluss-J",4,"1/144","No-Grade","Gundam ZZ",2801.66,214,5.53
"Leo",4,"1/144","High Grade","AC",2689.15,216,9.48
"MS-18E Kampfer",4,"1/144","No-Grade","Gundam",2827.26,216,6.32
"Gundam AGE-1 Spallow",4,"1/144","High Grade","AGE",3294.98,217,11.37
"MS-07B Gouf",4,"1/144","High Grade","UC",2664.75,218,7.58
"MSM-03 Gogg",4,"1/144","High Grade","UC",3052.35,218,7.58
"Option Unit Space Pack for Gundam G-Self",4,"1/144","High Grade","Reconguista in G",3294.98,218,11.37
"RGM-79G GM Command",4,"1/144","High Grade","UC",2664.75,218,7.58
"RX-75 Gun Tank",4,"1/144","High Grade","UC",2664.75,218,7.58
"RX-77-2 Gun Cannon",4,"1/144","High Grade","UC",2664.75,218,7.58
"XXXG-01SR2 Gundam Sandrock Custom Metal Clear Version",4,"1/144","High Grade","FA Gundam W EW Metal Clear Version",2861.95,218,9.48
"YMS-15 Gyan",4,"1/144","High Grade","UC",2664.75,218,7.58
"Abigor",4,"1/144","No-Grade","V Gundam",2724.48,218,5.53
"OZX-GU01A Gundam Geminass 01",4,"1/144","High Grade","Gundam W Unit",2794.14,219,7.58
"MSA-005 Methuss",4,"1/144","No-Grade","Z Gundam",2790.72,219,5.53
"RGM-79D GM Cold Districts Type",4,"1/144","High Grade","UC",2664.75,220,7.58
"Re-GZ",4,"1/144","No-Grade","Char`s Counter Attack",2819.79,220,6.32
"MSM-07 Z`Gok Mass Production Type",4,"1/144","High Grade","UC",2664.75,221,6.63
"MSM-07S Char`s Z`Gok",4,"1/144","High Grade","UC",2664.75,221,6.63
"Hekija",4,"1/144","High Grade","Iron-Blooded Orphans",3294.98,222,9.48
"Jamru-Fin",4,"1/144","No-Grade","Gundam ZZ",2917.98,222,5.53
"MS-07B3 Gouf Custom",4,"1/144","High Grade","Gundam The th MS Team",2907,224,6.32
"Gundam AGE-1 Normal",4,"1/144","High Grade","AGE",3294.98,225,11.37
"RGM-79",4,"1/144","High Grade","Gundam The th MS Team",2413,225,6.32
"G Cannon",3,"1/100","No-Grade","Gundam F",2692.8,226,6.32
"Genoace",4,"1/144","High Grade","AGE",3249,226,11.37
"LM312V04 Victory Gundam",4,"1/144","High Grade","UC",3283.96,226,11.37
"Guncannon",4,"1/144","High Grade","UC Revive",3294.98,227,11.37
"G-Exes",4,"1/144","High Grade","AGE",3238.17,228,11.37
"GM Command Space Use",4,"1/144","High Grade","UC",2575.87,228,7.58
"MS-06J Zaku II",4,"1/144","High Grade","Gundam The th MS Team",2776.19,228,6.32
"OZX-GU01LOB Gundam L.O.Booster",4,"1/144","High Grade","Gundam W Unit",2783.31,228,7.58
"MSM-03/C Hygog",4,"1/144","No-Grade","Gundam",2847.05,228,5.53
"Ga-Zowmn",4,"1/144","No-Grade","Gundam ZZ",2906.67,229,4.74
"Geara Doga",4,"1/144","No-Grade","Char`s Counter Attack",2790.72,229,5.53
"BMS-003 Shaldoll Rogue",4,"1/144","High Grade","AGE",3081.32,230,12.32
"Genoace Custom",4,"1/144","High Grade","AGE",3238.17,230,11.37
"OZ-10VMSX Gundam Aesculapius",4,"1/144","High Grade","Gundam W Unit",2873.09,230,7.58
"Shaldoll Custom",4,"1/144","High Grade","AGE",3227.34,230,11.37
"XXXG-01D2 Gundam D-Hell Custom",4,"1/144","High Grade","FA Gundam W EW",3434.18,230,9.48
"XXXG-01S2 Gundam Nataku",4,"1/144","High Grade","FA Gundam W EW",3434.18,230,9.48
"Dowadge",4,"1/144","No-Grade","Gundam ZZ",2763.26,230,5.53
"v Gundam",4,"1/144","No-Grade","Char`s Counter Attack",3306,230,6.32
"Zssa",4,"1/144","No-Grade","Gundam ZZ",2847.05,230,5.53
"Heavy Gun",3,"1/100","No-Grade","Gundam F",2703.36,231,6.32
"RX-79 Ez8 Gundam Ez-8",4,"1/144","High Grade","Gundam The th MS Team",2413,231,6.32
"XXXG-01D2 Gundam D-Hell Custom Metal Clear Version",4,"1/144","High Grade","FA Gundam W EW Metal Clear Version",3238.17,231,11.84
"Den`an Zond",3,"1/100","No-Grade","Gundam F",2839.68,232,6.32
"MS-06 Zaku II",3,"1/100","No-Grade","First Gundam",2852.85,232,6.63
