"Nombre","Escala","Detalle","Serie","Embalaje","Peso","Precio"
"635","Petitgguy Chara`Gguy Fumina","1/144","High Grade","Petit`Gguy  Chara`Gguy",1260.54,142,8.53
"636","Petitgguy Chara`Gguy Gyanko","1/144","High Grade","Petit`Gguy  Chara`Gguy",1260.54,143,8.53
"647","*Bargain Item* Galaxy Booster","1/144","High Grade","Build Custom",1260.54,118,7.58
"701","Dimension Build Knuckles [Maru]","1/144","High Grade","Build Custom",1260.54,99,5.69
"705","Kurenai Weapon","1/144","High Grade","Build Custom",1260.54,84,5.69
"706","Gya Eastern Weapons","1/144","High Grade","Build Custom",1260.54,82,5.69
"707","The Northern Pod","1/144","High Grade","Build Custom",1260.54,99,5.69
"708","Build Hands Square Type [S,M,L]","1/144","High Grade","Build Custom",1260.54,97,5.69
"709","*Bargain Item* Build Hands Round Type [S,M,L]","1/144","High Grade","Build Custom",1260.54,98,5.69
"710","Changeling Rifle","1/144","High Grade","Build Custom",1260.54,85,5.69
"726","MS Option Set 4 & Union Mobile Worker","1/144","High Grade","Iron-Blooded Arms",1260.54,100,5.69
"734","Pandagguy","1/144","High Grade","Petit`Gguy",1260.54,117,5.69
"795","Petitgguy Setsuna F Seiei Blue & Placard","1/144","High Grade","Petit`Gguy",1260.54,102,4.74
"796","Petitgguy Tieria Erde Purple & Placard","1/144","High Grade","Petit`Gguy",1260.54,103,4.74
"800","Petitgguy Divers Blue & Placard","1/144","High Grade","Petit`Gguy",1260.54,102,4.74
"786","Petitgguy Bitter Sweet & Chocolate","1/144","High Grade","Petit`Gguy",1273.1,95,5.21
"727","MS Option Set 3 & Gjallarhorn Mobile Worker","1/144","High Grade","Iron-Blooded Arms",1288.55,86,5.69
"711","Giant Gatling","1/144","High Grade","Build Custom",1304.1,104,5.69
"787","Petitgguy Soda Pop Blue & Ice Candy","1/144","High Grade","Petit`Gguy",1314.5,96,5.21
"901","Magella Attack","1/144","No-Grade","First Gundam",1324.8,106,3.79
"903","MSM-04N Agguy","1/144","No-Grade","MSV",1324.8,127,3.16
"712","Mega Ride Launcher","1/144","High Grade","Build Custom",1325.4,96,5.69
"713","Mock Army Set","1/144","High Grade","Build Custom",1325.4,94,5.69
"728","MS Option Set 8 & SAU Mobile Worker","1/144","High Grade","Iron-Blooded Arms",1325.4,95,5.69
"797","Petitgguy Graham Aker White & Placard","1/144","High Grade","Petit`Gguy",1325.4,102,4.74
"801","Petitgguy Rusty Orange & Placard","1/144","High Grade","Petit`Gguy",1325.4,102,4.74
"649","Lightning Back Weapon System","1/144","High Grade","Build Custom",1330.57,111,7.58
"650","Ballden Arm Arms","1/144","High Grade","Build Custom",1332.45,122,7.58
"798","Petitgguy Lockon Stratos Green & Placard","1/144","High Grade","Petit`Gguy",1332.45,102,4.74
"904","RX-78-1 Proto Type Gundam","1/144","No-Grade","MSV",1334,120,3.16
"936","Salamis","1/1200","No-Grade","Vessels",1334,103,3.79
"802","Petitgguy Burning Red","1/144","High Grade","Petit`Gguy",1334.24,96,4.74
"714","Dark Matter Booster","1/144","High Grade","Build Custom",1339.5,102,5.69
"715","Powered Arms Powerder","1/144","High Grade","Build Custom",1339.5,115,5.69
"716","24th Century Weapons","1/144","High Grade","Build Custom",1339.5,84,5.69
"803","Petitgguy Lightning Blue","1/144","High Grade","Petit`Gguy",1339.5,96,4.74
"804","Petitgguy Surfacer Gray & Placard","1/144","High Grade","Petit`Gguy",1339.5,103,4.74
"729","MS Option Set 1 & CGS Mobile Worker","1/144","High Grade","Iron-Blooded Arms",1341.33,99,5.69
"905","MSM-08 Zogok","1/144","No-Grade","MSV",1344.2,137,3.16
"651","Gunpla Battle Arm Arms","1/144","High Grade","Build Custom",1344.58,142,7.58
"717","Ez-Arms","1/144","High Grade","Build Custom",1348.43,93,5.69
"718","Dimension Build Knuckles [Kaku]","1/144","High Grade","Build Custom",1348.43,98,5.69
"793","Build Booster","1/144","High Grade","Build Custom",1348.43,96,4.74
"805","Petitgguy Future Pink","1/144","High Grade","Petit`Gguy",1348.43,95,4.74
"806","Petitgguy Milk White","1/144","High Grade","Petit`Gguy",1348.43,98,4.74
"788","Petitgguy Surf Green & Guitar","1/144","High Grade","Petit`Gguy",1350.22,99,5.21
"719","Ballistic Weapons","1/144","High Grade","Build Custom",1351.3,88,5.69
"720","Binder Gun","1/144","High Grade","Build Custom",1353.6,107,5.69
"789","Petitgguy Rapapan Purple & Drum","1/144","High Grade","Petit`Gguy",1353.6,100,5.21
"799","Petitgguy Allelujah Haptism Orange & Placard","1/144","High Grade","Petit`Gguy",1353.6,102,4.74
"911","RGM-79 GM Sniper Custom","1/144","No-Grade","Z-MSV",1353.6,128,3.16
"721","Spinning Blaster","1/144","High Grade","Build Custom",1357.36,97,5.69
"730","MS Option Set 2 & CGS Mobile Worker","1/144","High Grade","Iron-Blooded Arms",1357.36,124,5.69
"652","K9 Dog Pack","1/144","High Grade","Build Custom",1360.8,117,7.58
"722","Hyper Gunpla Battle Weapons","1/144","High Grade","Build Custom",1360.8,110,5.69
"790","Petitgguy Stray Black & Cat Costume","1/144","High Grade","Petit`Gguy",1360.8,98,5.21
"794","Amazing Weapon binder","1/144","High Grade","Build Custom",1360.8,106,4.74
"906","RGC-80 GM Cannon","1/144","No-Grade","MSV",1363,130,3.16
"807","Petitgguy Cha-Cha-Cha Brown","1/144","High Grade","Petit`Gguy",1364.5,98,4.74
"702","Ninpulse Beams","1/144","High Grade","Build Custom",1368,77,5.69
"723","Build Booster Mk-II","1/144","High Grade","Build Custom",1368,108,5.69
"808","Petitgguy Winning Yellow","1/144","High Grade","Petit`Gguy",1368,96,4.74
"907","FA-78-1 Gundam Full Armor Type","1/144","No-Grade","MSV",1369.82,130,3.16
"908","RGM-79 GM Sniper Custom","1/144","No-Grade","MSV",1376.63,127,3.16
"703","GM/GM Weapons","1/144","High Grade","Build Custom",1377.12,84,5.69
"731","MS Option Set 6 & HD Mobile Worker","1/144","High Grade","Iron-Blooded Arms",1377.12,100,5.69
"648","Lightning Back Weapon System Mk-III","1/144","High Grade","Build Custom",1378.94,134,7.58
"724","Matsuri Weapon","1/144","High Grade","Build Custom",1389.15,87,5.69
"902","MSN-03 Gogg","1/144","No-Grade","First Gundam",1392,116,3.79
"791","Petitgguy Pretty in Pink & Peti Petitgguy","1/144","High Grade","Petit`Gguy",1405.81,97,5.21
"910","RMS-179 GM II","1/144","No-Grade","Z Gundam",1405.92,125,3.16
"912","RGC-80 GM Cannon","1/144","No-Grade","Z-MSV",1405.92,124,3.16
"792","Petitgguy Bow-wow White & Dog Costume","1/144","High Grade","Petit`Gguy",1417.5,98,5.21
"732","MS Option Set 7","1/144","High Grade","Iron-Blooded Arms",1431.93,100,5.69
"909","MS-06F Zaku Mine Layer","1/144","No-Grade","MSV",1481.9,140,3.16
"855","OZ-00MS Tallgeese","1/144","No-Grade","Gundam W",1515.75,152,3.95
"856","OZ-13MSX1 Vayeate","1/144","No-Grade","Gundam W",1515.75,151,3.95
"882","Contio","1/144","No-Grade","V Gundam",1522.8,149,3.95
"845","Bolt Gundam","1/144","No-Grade","G Gundam",1525.86,141,3.95
"846","Rising Gundam","1/144","No-Grade","G Gundam",1525.86,135,3.95
"852","G Gundam","1/144","No-Grade","G Gundam",1525.86,132,3.95
"815","Gundam Exia","1/144","First Grade","Gundam (FG)",1530,170,4.74
"857","OZ-13MS Gundam Epyon","1/144","No-Grade","Gundam W",1532.95,144,3.95
"858","OZ-00MS2 Tallgeese II","1/144","No-Grade","Gundam W",1532.95,156,3.95
"883","Zoloat","1/144","No-Grade","V Gundam",1532.95,143,3.95
"757","Bolt Gundam Hyper Mode Ver.","1/144","No-Grade","G Gundam",1535.96,139,5.53
"847","Gundam Spiegel","1/144","No-Grade","G Gundam",1540.05,131,3.95
"653","Skull Weapon","1/144","High Grade","Build Custom",1540.66,130,7.58
"836","WD-M01 Turn A Gundam","1/144","No-Grade","Turn A Gundam",1543.1,145,4.74
"837","AMX-109 Mobile Kapool","1/144","No-Grade","Turn A Gundam",1543.1,138,4.74
"758","G Gundam Hyper Mode Ver.","1/144","No-Grade","G Gundam",1548,133,5.53
"759","Gundam Rose Hyper Mode Ver.","1/144","No-Grade","G Gundam",1548,124,5.53
"859","XXXG-01H Gundam Heavyarms","1/144","No-Grade","Gundam W",1548,129,3.95
"760","Dragon Gundam Hyper Mode Ver.","1/144","No-Grade","G Gundam",1550.25,127,5.53
"865","GT-9600 Gundam Leopard","1/144","No-Grade","Gundam X",1550.25,145,3.95
"866","NRX-0013 Gundam Virsago","1/144","No-Grade","Gundam X",1550.25,161,3.95
"867","GW-9800-B Gundam Air Master Burst","1/144","No-Grade","Gundam X",1550.25,144,3.95
"884","Javerin","1/144","No-Grade","V Gundam",1553.26,135,3.95
"816","OZ-13MS Gundam Epyon Ver. WF","1/144","No-Grade","Gundam W",1555.2,152,4.74
"839","Zollidia","1/144","No-Grade","V Gundam",1555.2,146,4.74
"885","Shy-Tarn","1/144","No-Grade","V Gundam",1555.2,160,3.95
"886","Tomliat","1/144","No-Grade","V Gundam",1555.2,148,3.95
"860","XXXG-01S Shenlong Gundam","1/144","No-Grade","Gundam W",1558.32,127,3.95
"761","Gundam Maxter Hyper Mode Ver.","1/144","No-Grade","G Gundam",1565.57,127,5.53
"848","Dragon Gundam","1/144","No-Grade","G Gundam",1565.57,127,3.95
"849","Gundam Rose","1/144","No-Grade","G Gundam",1565.57,125,3.95
"861","XXXG-01SR Gundam Sandrock","1/144","No-Grade","Gundam W",1565.57,128,3.95
"887","Gun EZ","1/144","No-Grade","V Gundam",1565.57,135,3.95
"868","GX-9900 Gundam X","1/144","No-Grade","Gundam X",1568.64,139,3.95
"888","Rig Shokew","1/144","No-Grade","V Gundam",1568.64,142,3.95
"817","XXXG-01W Wing Gundam Ver. WF","1/144","No-Grade","Gundam W",1572.82,148,4.74
"818","XXXG-01S Shenlong Gundam Ver. WF","1/144","No-Grade","Gundam W",1572.82,140,4.74
"850","Master Gundam","1/144","No-Grade","G Gundam",1575.94,149,3.95
"862","OZ-13MSX2 Mercurius","1/144","No-Grade","Gundam W",1575.94,149,3.95
"889","V Gundam","1/144","No-Grade","V Gundam",1575.94,133,3.95
"890","V2 Buster Gundam","1/144","No-Grade","V Gundam",1575.94,149,3.95
"891","Janes Gun","1/144","No-Grade","V Gundam",1575.94,133,3.95
"819","XXXG-01D Gundam Deathscythe Ver. WF","1/144","No-Grade","Gundam W",1583.23,136,4.74
"820","XXXG-01H Gundam Heavy Arms Ver. WF","1/144","No-Grade","Gundam W",1583.23,138,4.74
"821","XXXG-01SR Gundam Sandrock Ver. WF","1/144","No-Grade","Gundam W",1593.65,132,4.74
"735","Genoace II","1/144","No-Grade","AG",1599,127,5.69
"736","Gundam AGE-1 Titus","1/144","No-Grade","AG",1609.66,130,5.69
"737","Zedas","1/144","No-Grade","AG",1609.66,132,5.69
"840","Weapons Set","1/144","No-Grade","V Gundam",1612.5,115,4.74
"863","XXXG-01W  Wing Gundam","1/144","No-Grade","Gundam W",1612.5,141,3.95
"738","G-Exes","1/144","No-Grade","AG",1617.51,125,5.69
"739","Gundam AGE-1 Spallow","1/144","No-Grade","AG",1617.51,118,5.69
"740","Adele","1/144","No-Grade","AG",1620.32,119,5.69
"851","Gundam Maxter","1/144","No-Grade","G Gundam",1623.25,130,3.95
"741","Gafran","1/144","No-Grade","AG",1628.22,128,5.69
"742","Genoace","1/144","No-Grade","AG",1628.22,120,5.69
"743","Genoace Custom","1/144","No-Grade","AG",1628.22,123,5.69
"744","Gundam AGE-1 Normal","1/144","No-Grade","AG",1628.22,123,5.69
"869","GX-9900-DV Gundam X Divider","1/144","No-Grade","Gundam X",1630.8,142,3.95
"838","FLAT-L06D Mobile Flat","1/144","No-Grade","Turn A Gundam",1634,139,4.74
"864","XXXG-01D Gundam Deathscythe","1/144","No-Grade","Gundam W",1634,130,3.95
"745","Zeidora","1/144","No-Grade","AG",1637.7,138,5.69
"870","NRX-0013-CB Gundam Virsago Chest Brake","1/144","No-Grade","Gundam X",1641.6,158,3.95
"753","MRC-F20 Mobile Sumo","1/144","No-Grade","Turn A Gundam",1649.2,165,5.69
"853","Shining Gundam","1/144","No-Grade","G Gundam",1649.2,134,3.95
"871","GW-9800 Gundam Air Master","1/144","No-Grade","Gundam X",1652.4,136,3.95
"749","Gundam Dynames","1/144","First Grade","Gundam (FG)",1683,170,5.69
"750","Gundam Kyrios","1/144","First Grade","Gundam (FG)",1683,170,5.69
"680","Gundam AGE-2 Normal","1/144","No-Grade","AG",1691.25,155,6.63
"892","RMS-108 Marasai","1/144","No-Grade","Z Gundam",1720.86,160,3.95
"776","Gun Blastor","1/144","No-Grade","V Gundam",1741.5,164,5.53
"696","XXXG-00W0 Wing Gundam Zero Ver. WF","1/144","No-Grade","Gundam W",1756.21,181,6.32
"92","Gundam Trailer Truck","1/144","EX","EX Model",1773.75,165,28.43
"768","GX-9901-DX Gundam Double X","1/144","No-Grade","Gundam X",1782,180,5.53
"765","XXXG-00W0 Wing Gundam Zero","1/144","No-Grade","Gundam W",1785.58,174,5.53
"766","XXXG-01S2 Altron Gundam","1/144","No-Grade","Gundam W",1793.88,176,5.53
"777","V2 Gundam","1/144","No-Grade","V Gundam",1793.88,166,5.53
"778","V-Dash Gundam","1/144","No-Grade","V Gundam",1797.4,158,5.53
"754","CONCEPT-X Mobile Turn X","1/144","No-Grade","Turn A Gundam",1814.12,175,5.69
"654","Meteor Hopper","1/144","High Grade","Build Custom",1820.78,146,7.58
"655","Valuable Pod","1/144","High Grade","Build Custom",1820.78,167,7.58
"656","Skyhigh Wings","1/144","High Grade","Build Custom",1820.78,149,7.58
"755","MRC-F20 Mobile Sumo","1/144","No-Grade","Turn A Gundam",1826.5,163,5.69
"822","R-Jarja","1/144","No-Grade","Gundam ZZ",1836.8,309,4.74
"844","Jegan","1/144","No-Grade","Char`s Counter Attack",1848.92,153,3.95
"767","XXXG-01D2 Gundam Deathscythe Hell","1/144","No-Grade","Gundam W",1850.51,175,5.53
"1366","Guntank R-44","1/100","No-Grade","Gundam F",1851.5,164,4.74
"657","No Name Rifle","1/144","High Grade","Build Custom",1852.5,136,7.58
"637","Petitgguy Chara`Gguy Momo","1/144","High Grade","Petit`Gguy  Chara`Gguy",1861.2,134,8.53
"634","Ptolemaios Arms","1/144","High Grade","Build Custom",1881,184,8.53
"658","Universe Booster Plavsky Power Gate","1/144","High Grade","Build Custom",1881,161,7.58
"893","Nemo","1/144","No-Grade","Z Gundam",1889.12,148,3.95
"659","Tiltrotor Pack","1/144","High Grade","Build Custom",1909.5,126,7.58
"677","Diver Ace Unit","1/144","High Grade","Build Custom",1909.5,115,6.63
"894","Z-Gundam","1/144","No-Grade","Z Gundam",1972.25,158,3.95
"895","RMS-117 Galbaldy Beta","1/144","No-Grade","Z Gundam",1980.83,148,3.95
"678","Amazing Booster","1/144","High Grade","Build Custom",2010.96,182,6.63
"896","Gundam MK-II","1/144","No-Grade","Z Gundam",2021.25,154,3.95
"660","Lightning Back Weapon System Mk-II","1/144","High Grade","Build Custom",2021.6,146,7.58
"733","MS Option Set 9","1/144","High Grade","Iron-Blooded Arms",2056.32,138,5.69
"809","Dodai YS","1/144","No-Grade","First Gundam",2203.2,157,4.74
"810","MS-R09 Rick Dom","1/144","No-Grade","First Gundam",2269.5,166,4.74
"873","MS-06E Zaku Recon","1/144","No-Grade","MSV",2273.3,165,3.95
"811","MS-14S Char`s Gelgoog","1/144","No-Grade","First Gundam",2278.4,153,4.74
"812","MS-14 Gelgoog","1/144","No-Grade","First Gundam",2295,153,4.74
"874","MS-06D Zaku Desert Type","1/144","No-Grade","MSV",2295,175,3.95
"897","Zaku Cannon","1/144","No-Grade","Z-MSV",2295,174,3.95
"935","Magellan","1/1200","No-Grade","Vessels",2295,201,4.74
"875","MS-06M Zaku Marine Type","1/144","No-Grade","MSV",2304,172,3.95
"876","MS-06R Zaku II","1/144","No-Grade","MSV",2304,174,3.95
"877","MS-07H Gouf Flying","1/144","No-Grade","MSV",2313,174,3.95
"878","RX-77-4 Guncannon II","1/144","No-Grade","MSV",2313,184,3.95
"898","MS-06E Zaku Recon","1/144","No-Grade","Z-MSV",2313,164,3.95
"879","MS-06E-3 Zaku Flipper","1/144","No-Grade","MSV",2318.77,174,3.95
"899","MS-07H Gouf Flying Test Type","1/144","No-Grade","Z-MSV",2340,171,3.95
"880","MS-06K Zakucannon","1/144","No-Grade","MSV",2340.9,176,3.95
"900","MS-06M Marine Hi-zack","1/144","No-Grade","Z-MSV",2358.72,170,3.95
"638","MS-07H8 Gouf Flight Type","1/144","High Grade","Gundam The th MS Team",2413,288,7.9
"686","RGM-79","1/144","High Grade","Gundam The th MS Team",2413,225,6.32
"687","RX-79 Ez8 Gundam Ez-8","1/144","High Grade","Gundam The th MS Team",2413,231,6.32
"746","MSN 02 Zeong","1/144","No-Grade","First Gundam",2436.48,203,5.69
"751","YMS-09 Tropical Test Type Dom","1/144","No-Grade","MSV",2446.08,191,5.69
"830","YMS-09 Proto Type Dom","1/144","No-Grade","MSV",2446.08,190,4.74
"843","MS-06V Zaku Tank","1/144","No-Grade","Z-MSV",2446.08,175,4.74
"747","RX-75 Gun Tank","1/144","No-Grade","First Gundam",2449.17,194,5.69
"698","Hamma-Hamma","1/144","No-Grade","Gundam ZZ",2459.52,205,6.32
"823","Gazu R/L","1/144","No-Grade","Gundam ZZ",2466.46,188,4.74
"824","Gaza-D","1/144","No-Grade","Gundam ZZ",2480.02,190,4.74
"831","RX-78 Perfect Gundam","1/144","No-Grade","MSV",2483.26,201,4.74
"825","Bawoo","1/144","No-Grade","Gundam ZZ",2500.13,202,4.74
"832","MS-06R-2 Johnny Ridden`s Zaku II","1/144","No-Grade","MSV",2503.44,200,4.74
"833","MSN-01 High Mobility Type Zaku","1/144","No-Grade","MSV",2513.87,208,4.74
"679","Diver Gear","1/144","High Grade","Build Custom",2521.08,172,6.63
"826","Desert Zaku","1/144","No-Grade","Gundam ZZ",2524.3,197,4.74
"827","Zaku Marina","1/144","No-Grade","Gundam ZZ",2524.3,194,4.74
"834","MS-14C Gelgoog Cannon","1/144","No-Grade","MSV",2524.3,197,4.74
"842","Hyaku Shiki","1/144","No-Grade","Z Gundam",2524.3,196,4.74
"835","MS-06Z Z Type Zaku","1/144","No-Grade","MSV",2527.61,212,4.74
"752","MS-06V Zaku Tank","1/144","No-Grade","MSV",2547.36,181,5.69
"669","GM Command Space Use","1/144","High Grade","UC",2575.87,228,7.58
"828","ZZ Gundam","1/144","No-Grade","Gundam ZZ",2623.67,209,4.74
"483","Space Gehennam","1/144","High Grade","Reconguista in G",2661.14,243,13.27
"81","Doday Two","1/144","EX","EX Model",2664.75,255,33.16
"93","*Bargain Item* FF-X7-Jet Jet Core Booster","1/144","EX","EX Model",2664.75,165,28.43
"663","XXXG-01SR2 Gundam Sandrock Custom","1/144","High Grade","FA Gundam W EW",2664.75,214,7.58
"670","YMS-15 Gyan","1/144","High Grade","UC",2664.75,218,7.58
"671","RX-75 Gun Tank","1/144","High Grade","UC",2664.75,218,7.58
"672","MS-07B Gouf","1/144","High Grade","UC",2664.75,218,7.58
"673","RGM-79D GM Cold Districts Type","1/144","High Grade","UC",2664.75,220,7.58
"674","RGM-79G GM Command","1/144","High Grade","UC",2664.75,218,7.58
"683","MSM-07 Z`Gok Mass Production Type","1/144","High Grade","UC",2664.75,221,6.63
"684","MSM-07S Char`s Z`Gok","1/144","High Grade","UC",2664.75,221,6.63
"685","RGM-79 GM","1/144","High Grade","UC",2664.75,200,6.63
"517","*Bargain Item* Machine Rider","1/144","High Grade","Build Custom",2679,188,11.37
"624","Base Jabber","1/144","High Grade","UC",2679,260,9.48
"608","Leo","1/144","High Grade","AC",2689.15,216,9.48
"1360","G Cannon","1/100","No-Grade","Gundam F",2692.8,226,6.32
"1347","MS-06S Char`s Zaku","1/100","No-Grade","First Gundam",2702.7,235,6.63
"1361","Heavy Gun","1/100","No-Grade","Gundam F",2703.36,231,6.32
"1348","RX-78 Gundam","1/100","No-Grade","First Gundam",2712.6,236,6.63
"664","XXXG-01H2 Gundam H-Arms Custom","1/144","High Grade","FA Gundam W EW",2723.84,214,7.58
"779","Abigor","1/144","No-Grade","V Gundam",2724.48,218,5.53
"661","High Mock","1/144","High Grade","Build Fighters",2726.88,210,7.58
"107","Luggun and Sealanth","1/144","EX","EX Model",2761.65,190,26.53
"612","MMS-01 Serpent Custom Metal Clear Version","1/144","High Grade","FA Gundam W EW Metal Clear Version",2761.65,208,9.48
"613","OZ-00MS2B Tallgeese III Special Metal Clear Version","1/144","High Grade","FA Gundam W EW Metal Clear Version",2761.65,241,9.48
"1349","RX-77 Gun Cannon","1/100","No-Grade","First Gundam",2761.92,258,6.63
"769","Dowadge","1/144","No-Grade","Gundam ZZ",2763.26,230,5.53
"688","MS-06J Zaku II","1/144","High Grade","Gundam The th MS Team",2776.19,228,6.32
"697","NRX-0015 Gundam Ashtaron","1/144","No-Grade","Gundam X",2776.19,235,6.32
"666","OZX-GU01LOB Gundam L.O.Booster","1/144","High Grade","Gundam W Unit",2783.31,228,7.58
"614","XXXG-01H2 Gundam H-Arms Custom Metal Clear Version","1/144","High Grade","FA Gundam W EW Metal Clear Version",2790.72,210,9.48
"756","Geara Doga","1/144","No-Grade","Char`s Counter Attack",2790.72,229,5.53
"667","OZX-GU01A Gundam Geminass 01","1/144","High Grade","Gundam W Unit",2794.14,219,7.58
"770","Galluss-J","1/144","No-Grade","Gundam ZZ",2801.66,214,5.53
"780","PMX-001 Palace-Athne","1/144","No-Grade","Z Gundam",2801.66,183,5.53
"1362","Dahgi Iris","1/100","No-Grade","Gundam F",2801.66,234,6.32
"1350","RGM-79 GM","1/100","No-Grade","First Gundam",2802.8,205,6.63
"94","Dopp Fighter","1/144","EX","EX Model",2810.1,191,28.43
"781","RX-110 Gabthley","1/144","No-Grade","Z Gundam",2816.26,201,5.53
"690","Re-GZ","1/144","No-Grade","Char`s Counter Attack",2819.79,220,6.32
"1351","RX-77 Gun Cannon","1/100","No-Grade","First Gundam",2821.5,262,6.63
"1352","MS-05 Zaku I","1/100","No-Grade","First Gundam",2821.5,240,6.63
"662","MMS-01 Serpent Custom","1/144","High Grade","FA Gundam W EW",2824.89,214,7.58
"95","Samson Trailer","1/144","EX","EX Model",2825.68,210,28.43
"694","MS-18E Kampfer","1/144","No-Grade","Gundam",2827.26,216,6.32
"782","MSK-008 Dijeh","1/144","No-Grade","Z Gundam",2835.97,183,5.53
"691","Jagd Doga","1/144","No-Grade","Char`s Counter Attack",2839.68,250,6.32
"692","Jagd Doga","1/144","No-Grade","Char`s Counter Attack",2839.68,250,6.32
"1363","Den`an Zond","1/100","No-Grade","Gundam F",2839.68,232,6.32
"665","OZ-00MS2B Tallgeese III","1/144","High Grade","FA Gundam W EW",2847.05,245,7.58
"771","Zssa","1/144","No-Grade","Gundam ZZ",2847.05,230,5.53
"783","G Defenser","1/144","No-Grade","Z Gundam",2850.82,205,5.53
"1353","MS-05 Zaku I","1/100","No-Grade","First Gundam",2852.85,242,6.63
"1354","MS-06 Zaku II","1/100","No-Grade","First Gundam",2852.85,237,6.63
"1355","MS-15 Gyan","1/100","No-Grade","First Gundam",2852.85,239,6.63
"1356","MS-06 Zaku II","1/100","No-Grade","First Gundam",2852.85,232,6.63
"784","ORX-05 Gaplant","1/144","No-Grade","Z Gundam",2854.47,235,5.53
"615","XXXG-01SR2 Gundam Sandrock Custom Metal Clear Version","1/144","High Grade","FA Gundam W EW Metal Clear Version",2861.95,218,9.48
"668","OZ-10VMSX Gundam Aesculapius","1/144","High Grade","Gundam W Unit",2873.09,230,7.58
"748","MSM-10 Zock","1/144","No-Grade","First Gundam",2879.28,203,5.69
"1365","EMS-05 Agg","1/100","No-Grade","MSV",2886.95,209,5.53
"1357","RGM-79 GM","1/100","No-Grade","First Gundam",2902.9,209,6.63
"829","Ga-Zowmn","1/144","No-Grade","Gundam ZZ",2906.67,229,4.74
"96","S-Gundam Attacker","1/144","EX","EX Model",2907,200,28.43
"689","MS-07B3 Gouf Custom","1/144","High Grade","Gundam The th MS Team",2907,224,6.32
"772","Regelgu","1/144","No-Grade","Gundam ZZ",2917.98,262,5.53
"773","Jamru-Fin","1/144","No-Grade","Gundam ZZ",2917.98,222,5.53
"49","Musai","1/1700","EX","EX Model",2975.62,175,26.53
"50","Musai","1/1700","EX","EX Model",2975.62,175,26.53
"1358","RX-78 Gundam","1/100","No-Grade","First Gundam",3003,240,6.63
"675","MSM-03 Gogg","1/144","High Grade","UC",3052.35,218,7.58
"591","Gundam 00 Diver","1/144","High Grade","Build Divers",3070.98,296,9.48
"505","BMS-003 Shaldoll Rogue","1/144","High Grade","AGE",3081.32,230,12.32
"533","Gundam Vidar","1/144","High Grade","Iron-Blooded Orphans",3081.32,255,11.37
"534","Ryuseigo","1/144","High Grade","Iron-Blooded Orphans",3081.32,248,11.37
"538","Hyakuri","1/144","High Grade","Iron-Blooded Orphans",3081.32,267,11.37
"600","Gundam Barbatos","1/144","High Grade","Iron-Blooded Orphans",3081.32,257,9.48
"601","Hyakuren","1/144","High Grade","Iron-Blooded Orphans",3081.32,243,9.48
"598","Gundam Barbatos Lupus","1/144","High Grade","Iron-Blooded Orphans",3114.1,260,9.48
